track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493.0,403,198,863,46,,174,F#,Minor,52,66,73,34,0,31,6,2022-03-31
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654.0,183,162,161,12,187,89,G#,Major,64,43,73,5,17,16,4,2022-12-08
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3,2023-02-24
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883.0,80,227,95,24,"1,173",78,,Major,44,14,9,96,0,10,3,2023-07-13
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234.0,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16,2023-03-31
Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,2023-03-24
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,2023-06-22
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248.0,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,2023-07-07
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226.0,24,98,582,2,73,135,,Minor,48,44,42,12,2,11,3,2013-01-01
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0,17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5,2023-05-31
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561.0,74,182,87,14,"1,093",99,C#,Major,85,83,68,7,0,36,20,2023-06-02
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,2023-06-22
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384.0,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,2022-03-25
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,2023-06-29
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,2023-01-31
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5,2023-05-25
Rush,Troye Sivan,1,2023,7,13,864,78,22581161.0,71,135,50,1,294,126,F,Minor,74,35,84,0,0,11,6,2023-07-13
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266.0,20,185,13,8,197,168,F#,Major,56,63,87,39,0,11,5,2023-06-28
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510.0,113,149,245,23,27,98,C#,Minor,71,17,61,36,0,8,5,2022-12-02
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277.0,242,142,165,9,310,97,E,Major,64,51,63,12,0,19,5,2022-10-21
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393.0,115,123,184,18,354,180,E,Minor,72,61,63,67,0,9,28,2023-02-23
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413.0,22,33,34,7,184,120,,Major,81,63,68,11,0,11,4,2023-06-01
Frï¿½ï¿½gil (feat. Grupo Front,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502.0,19,108,24,9,212,150,F#,Major,61,39,73,37,0,11,3,2023-04-07
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075.0,154,123,410,2,81,96,F,Major,75,57,68,9,0,13,6,2014-01-01
Style,Taylor Swift,1,2014,1,1,7830,42,786181836.0,94,111,151,4,82,95,D,Major,60,48,79,0,0,12,4,2014-01-01
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476.0,16,159,15,6,100,125,F,Minor,79,96,85,27,0,11,6,2023-05-19
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408.0,10,107,6,3,62,144,A,Minor,56,84,65,23,0,10,6,2023-02-10
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550.0,372,117,843,4,69,90,D,Major,76,91,50,54,0,7,5,2018-10-09
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169.0,291,184,537,45,727,128,G,Minor,56,38,97,4,0,35,4,2022-08-26
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291.0,77,58,247,1,311,79,F#,Major,56,58,56,37,0,11,10,2017-07-21
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199.0,82,145,65,16,"1,133",144,,Major,77,75,58,52,0,23,25,2023-06-23
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054.0,65,48,138,1,102,122,F,Major,67,49,64,10,0,10,3,2020-11-27
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420.0,241,127,458,37,332,140,,Major,71,82,81,11,0,6,5,2022-05-13
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401.0,68,21,24,0,259,134,C#,Minor,59,51,52,9,0,15,7,2016-11-24
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693.0,281,137,"2,445",1,140,186,G,Major,68,49,59,16,0,13,28,2016-09-21
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108.0,87,86,74,1,16,67,C#,Minor,53,50,53,23,0,44,7,2023-02-24
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850.0,44,64,57,10,110,106,A#,Minor,72,17,64,7,0,10,5,2023-06-02
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666.0,145,111,213,11,810,128,G,Major,60,23,91,0,0,12,3,2023-04-06
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011.0,14,71,23,10,176,107,F#,Minor,92,55,70,18,0,15,7,2023-02-24
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440.0,0,0,109,17,0,130,G,Minor,67,96,88,12,19,8,4,2023-06-15
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666.0,250,122,"3,394",19,,123,E,Minor,45,13,54,70,0,9,4,2012-10-15
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074.0,672,199,"3,421",20,,171,C#,Major,50,38,80,0,0,9,7,2019-11-29
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385.0,67,79,57,1,615,137,G,Minor,64,88,72,51,0,17,5,2023-02-24
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358.0,139,111,161,15,210,125,G,Minor,84,85,68,58,0,22,4,2022-05-26
S91,Karol G,1,2023,7,14,525,41,16011326.0,34,115,39,6,216,128,,Minor,86,42,72,59,0,9,19,2023-07-14
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557.0,106,112,142,4,215,130,,Minor,61,53,58,55,0,27,4,2020-07-24
Tï¿½ï¿,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664.0,27,17,73,4,167,130,B,Major,86,59,96,50,1,9,5,2023-05-04
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624.0,154,84,102,14,37,133,F,Major,70,86,81,25,0,25,5,2023-02-03
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240.0,38,0,4,0,0,101,D,Major,88,72,59,62,0,9,3,2022-06-24
BESO,"Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,357925728.0,82,121,182,12,171,95,F,Minor,77,53,64,74,0,17,14,2023-03-24
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710.0,63,79,89,11,16,98,C#,Minor,90,40,59,0,0,10,29,2022-10-06
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421.0,196,2,"4,053",5,0,173,B,Major,43,28,66,0,0,23,3,1999-01-01
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836.0,37,55,32,0,272,90,G#,Major,64,10,62,7,0,48,7,2022-10-21
People,Libianca,1,2022,12,2,3506,56,373199958.0,105,64,169,8,529,198,A#,Minor,59,71,42,55,0,10,7,2022-12-02
Overdrive,Post Malone,1,2023,7,14,410,36,14780425.0,36,32,31,1,26,140,C#,Major,56,48,73,0,0,35,4,2023-07-14
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178.0,32,93,8,2,5,82,G#,Major,51,22,53,1,0,15,3,2023-07-07
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102.0,42,80,58,3,169,130,C#,Minor,77,84,89,17,0,43,5,2023-06-23
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762.0,386,144,707,28,,81,B,Major,76,53,53,44,0,9,9,2020-06-28
golden hour,JVKE,1,2022,7,15,4511,36,751134527.0,70,58,109,18,230,94,C#,Minor,51,14,59,65,18,25,3,2022-07-15
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485.0,166,87,"1,056",1,,124,A#,Major,61,41,81,5,2,10,3,2012-05-14
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093.0,94,65,164,14,176,128,D,Major,62,55,78,1,3,23,4,2022-07-06
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789.0,233,0,"4,095",9,0,138,F,Minor,49,42,62,9,0,11,3,2008-01-01
Here With Me,d4vd,1,2022,7,17,3246,23,635412045.0,94,85,68,1,84,132,E,Major,58,27,48,50,0,12,3,2022-07-17
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890.0,216,108,331,26,154,131,D,Major,71,24,47,1,0,27,9,2022-09-22
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368.0,47,74,80,14,194,168,F#,Minor,78,58,73,5,0,10,7,2022-12-20
CORAZï¿½ï¿½N VA,Maria Becerra,1,2023,6,22,370,20,43857627.0,12,16,18,4,93,98,C#,Major,68,40,79,33,0,30,6,2023-06-22
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673.0,300,65,"1,003",1,0,102,C#,Major,48,50,73,43,0,15,4,1975-01-01
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848.0,60,96,71,0,115,101,A#,Major,34,32,57,78,0,20,3,2022-04-22
Novidade na ï¿½ï¿,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092.0,9,6,25,2,72,130,F,Major,63,36,34,76,0,35,9,2023-06-23
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929.0,16,72,5,0,8,142,D,Major,50,20,64,1,0,12,3,2023-07-07
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922.0,492,99,798,31,0,170,C#,Major,59,48,76,4,0,10,5,2021-07-09
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238.0,80,75,110,11,323,124,G#,Minor,78,70,68,3,1,11,4,2023-03-03
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814.0,440,125,"1,800",0,,110,C#,Major,50,45,41,75,0,11,3,2018-11-08
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818.0,104,120,141,26,49,92,C#,Minor,91,43,71,9,0,9,8,2022-05-06
Makeba,Jain,1,2015,6,22,6060,53,165484133.0,150,148,"2,703",22,"1,451",116,D,Major,82,40,66,39,51,25,7,2015-06-22
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811.0,1,52,8,0,"1,170",129,A,Major,63,84,82,70,8,9,7,2012-06-20
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870.0,57,97,35,0,429,98,G#,Major,71,67,60,19,0,12,3,2023-03-24
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998.0,29,76,24,0,162,172,C#,Minor,74,76,76,6,0,10,9,2023-03-17
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248.0,28,89,29,5,82,150,D,Major,68,14,76,4,0,10,4,2023-03-17
Donï¿½ï¿½ï¿½t Bl,Taylor Swift,1,2017,11,8,4875,23,685032533.0,19,45,0,0,10,136,A,Minor,62,19,53,11,0,6,4,2017-11-08
Still With You,Jung Kook,1,2020,6,5,31,39,38411956.0,2,107,8,0,0,88,C#,Minor,53,34,47,9,0,83,4,2020-06-05
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150.0,69,145,69,2,478,143,D#,Major,83,69,44,15,0,10,33,2023-05-12
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540.0,49,105,63,1,0,100,F#,Minor,49,17,35,71,9,11,3,2023-03-17
Snooze,SZA,1,2022,12,9,2839,25,399686758.0,58,156,42,1,236,143,F,Major,56,39,55,14,0,11,13,2022-12-09
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,"1,632",3,200,112,C#,Minor,56,24,66,7,0,12,3,2011-01-01
Take Two,BTS,1,2023,6,9,674,47,118482347.0,20,106,25,4,78,93,G,Major,62,57,59,3,0,38,3,2023-06-09
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5,206,G,Major,43,50,55,50,0,15,10,2012-01-01
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165.0,17,119,19,2,266,88,G,Minor,68,17,71,15,0,11,5,2022-12-02
Chemical,Post Malone,1,2023,4,14,2528,39,172825906.0,56,91,59,3,486,170,D,Major,50,37,90,0,0,12,5,2023-04-14
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,"2,394",5,204,84,E,Minor,62,24,67,21,0,13,28,2004-01-01
New Jeans,NewJeans,1,2023,7,7,77,35,29562220.0,8,166,4,4,34,134,E,Minor,81,53,72,51,0,12,5,2023-07-07
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6,6,202,158,A#,Major,54,50,40,61,0,10,6,2022-04-20
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506.0,384,135,"1,034",37,312,116,C#,Major,80,92,80,4,0,10,3,2017-11-10
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633.0,41,100,59,1,32,117,C#,Major,61,45,69,2,0,9,3,2017-04-28
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900.0,98,108,327,17,153,114,F,Minor,77,65,72,2,0,7,5,2021-03-11
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694.0,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3,2011-01-01
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526.0,69,113,695,0,458,144,E,Minor,74,37,53,7,0,21,10,2012-01-01
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294.0,7,6,0,0,48,130,F,Major,51,18,44,76,0,11,3,2022-12-02
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561.0,2,106,4,2,184,116,B,Major,77,79,62,33,1,15,3,2023-06-22
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123.0,21,52,6,1,0,121,G,Major,65,49,78,0,0,17,4,2023-07-07
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614.0,101,32,"2,655",0,666,112,G,Major,64,54,81,36,0,11,6,1985-02-17
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570.0,80,65,476,0,14,100,A#,Minor,70,47,52,30,0,6,33,2014-12-09
Tattoo,Loreen,1,2023,2,25,2988,59,201660859.0,74,102,145,18,925,150,D#,Minor,55,30,78,24,0,12,8,2023-02-25
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961.0,19,23,24,3,88,120,F,Minor,84,96,71,18,0,34,17,2023-02-08
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753.0,40,58,47,8,203,127,B,Minor,82,89,85,4,0,23,6,2023-05-12
august,Taylor Swift,1,2020,7,24,7324,22,607123776.0,25,81,61,1,44,90,F,Major,51,42,61,53,0,9,3,2020-07-24
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345.0,19,117,8,1,74,128,A,Minor,75,79,63,33,0,15,4,2023-06-22
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784.0,161,115,246,9,638,143,A,Major,64,31,87,4,4,8,4,2023-03-10
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938.0,69,12,38,8,64,139,G#,Major,74,68,68,3,0,26,4,2022-07-15
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762.0,21,110,21,9,71,162,A#,Major,49,78,64,19,0,11,4,2022-12-09
Por las Noches,Peso Pluma,1,2021,6,11,457,24,330346424.0,8,116,4,3,2,92,,Major,81,39,60,31,0,7,3,2021-06-11
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821.0,45,69,52,4,3,95,F,Major,87,57,55,10,0,29,7,2022-08-19
Can't Hold Us (feat. Ray Dalton),"Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,1953533826.0,201,44,"6,551",2,0,146,D,Major,63,88,93,3,0,10,8,2011-08-16
Watermelon Sugar,Harry Styles,1,2019,11,17,21915,34,2322580122.0,437,115,"1,212",12,,95,,Major,55,56,82,12,0,34,5,2019-11-17
lovely - Bonus Track,"Billie Eilish, Khalid",2,2017,8,11,15032,30,2355719893.0,221,96,"1,078",2,136,115,E,Minor,35,12,30,93,0,10,3,2017-08-11
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503.0,25,59,32,5,88,128,B,Major,78,59,65,10,0,26,5,2023-06-21
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746.0,10,126,7,0,148,130,E,Minor,82,69,83,3,0,27,5,2023-05-15
OMG,NewJeans,1,2023,1,2,1783,27,430977451.0,26,124,15,1,22,127,A,Minor,80,74,77,36,0,11,4,2023-01-02
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874.0,24,122,282,3,368,150,D,Major,42,20,86,21,0,9,9,2011-01-01
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598.0,119,108,254,29,22,122,D,Minor,78,50,63,27,0,9,5,2023-01-11
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710.0,30,80,588,1,1,140,,Major,52,20,85,0,0,7,5,2007-04-20
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132.0,31,37,31,0,189,140,,Major,63,22,54,46,0,12,8,2023-06-02
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178.0,24,90,30,1,176,119,C#,Minor,75,48,53,18,0,18,34,2022-12-02
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632.0,3,88,1,0,52,110,G,Minor,76,96,72,32,0,9,4,2023-05-22
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074.0,7,0,"2,094",0,0,95,G#,Major,60,17,45,16,0,11,2,2017-01-01
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126.0,82,55,50,0,9,132,F#,Major,56,20,55,45,1,32,3,2022-07-20
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133.0,250,121,"2,969",10,31,125,A#,Minor,77,74,78,4,0,23,11,2017-01-31
Novo Balanï¿½,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253.0,6,9,26,1,66,124,D#,Minor,84,65,50,67,0,13,6,2023-05-19
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641.0,5,2,30,2,66,133,B,Minor,93,68,65,42,0,12,25,2023-06-01
Without Me,Eminem,1,2002,1,1,21081,43,1687664027.0,98,76,"3,889",5,0,112,G,Major,92,67,66,0,0,36,9,2002-01-01
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388.0,17,29,26,3,208,97,,Major,79,92,89,5,0,6,5,2023-07-13
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552.0,13,8,5,0,1,90,F,Minor,59,52,48,38,5,10,11,2016-11-24
Ojitos Lindos,"Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,1133865788.0,71,113,99,13,28,80,D#,Minor,65,27,69,8,0,53,4,2022-05-06
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494.0,107,69,"5,239",0,558,172,A,Major,45,33,59,6,0,8,3,2004-01-01
Those Eyes,New West,1,2019,5,10,1507,14,411747614.0,24,71,44,1,195,120,E,Major,60,24,35,73,0,31,3,2019-05-10
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395.0,7,71,4,2,13,140,G,Minor,74,96,80,18,0,5,5,2023-01-27
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544.0,7,76,3,1,93,128,A,Minor,81,90,77,1,0,9,5,2023-06-30
Bye,Peso Pluma,1,2023,5,26,324,14,95053634.0,13,110,8,2,60,122,,Major,78,70,81,57,0,10,5,2023-05-26
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863.0,119,81,974,1,503,130,,Major,47,86,92,8,0,5,24,2010-01-01
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632.0,14,88,66,3,72,160,A,Major,69,61,71,33,0,31,20,2023-02-02
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984.0,0,0,356,0,0,144,F,Major,73,87,70,6,0,28,5,2012-12-05
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275.0,4,14,12,5,56,192,B,Major,50,85,52,11,0,28,6,2023-04-04
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532.0,81,121,58,1,34,163,,Major,54,40,67,0,0,9,17,2022-06-17
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183.0,179,97,"3,394",11,153,122,C#,Minor,66,48,71,6,0,12,4,2013-01-01
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737.0,107,38,95,0,,154,D,Major,61,41,74,21,0,40,6,2021-03-19
Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809.0,133,181,3,0,,117,A,Minor,73,31,69,6,0,11,4,2019-10-04
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885.0,19,143,10,6,15,138,G,Minor,78,89,83,10,0,12,5,2023-01-23
Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613.0,98,95,453,0,454,96,,Major,86,74,80,33,0,8,6,2004-07-13
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350.0,433,107,"3,631",0,26,104,C#,Major,77,36,63,1,0,36,5,2016-04-04
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989.0,24,101,113,0,40,164,G#,Major,45,24,62,8,0,16,3,2010-01-01
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784.0,197,115,112,0,200,118,,Major,68,61,82,2,0,50,3,2020-03-20
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471.0,137,125,435,6,285,81,B,Minor,68,51,60,3,0,19,10,2010-05-25
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737.0,211,74,929,0,129,117,C#,Major,82,73,45,54,0,7,3,1983-01-06
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830.0,70,82,939,1,162,174,D,Major,45,10,37,97,25,64,4,2015-02-02
